Type,Entity
ORG,MichaelExcellent
PERSON,Caroline Buckee
ORG,Complexity Podcast
ORG,CarolineThank
PERSON,MichaelSo
DATE,last week
ORG,Lancet
ORG,CarolineI
ORG,MichaelIndeed
ORG,Science
DATE,the end of 2019
DATE,the beginning of 2020
GPE,Wuhan
ORG,MichaelYeah
TIME,just this morning
ORG,SFI
PERSON,Geoffrey West
PERSON,Schrodinger
GPE,South Korea
GPE,Singapore
ORG,MichaelYou're
PERSON,Kahn
PERSON,Corey Peak
PERSON,Albert Kao's
GPE,Vanuatu
GPE,Vanuatu
NORP,Western
ORG,MichaelYeah
ORG,MichaelThe
PERSON,David Krakauer
ORG,SFI Transmission
ORG,Lancet
DATE,several years
ORG,Lancet
ORG,MichaelLet
ORG,NIH
DATE,these days
ORG,the MIDAS Network
ORG,MichaelHmm
PERSON,a Laurent H̩bert-Dufresne
PERSON,Sam Scarpino
EVENT,the Thirty Years War
NORP,Christianity
ORG,Lancet
DATE,tomorrow
DATE,tomorrow
DATE,this last week
DATE,yesterday
GPE,New York
PERSON,MichaelSo
PERSON,Sam Scarpino
GPE,US
LOC,Europe
LOC,the Global South
LOC,Africa
GPE,India
GPE,Bangladesh
GPE,US
LOC,Europe
GPE,Canada
LOC,the Global South
PERSON,MichaelHow
GPE,the United States
LOC,Europe
GPE,US
ORG,PPE
ORG,MichaelRight
ORG,MichaelWell
PERSON,Caroline
ORG,CarolineThanks
